55076:190708:193412 Mazama: C Application:MZMA_AppExit:
55076:190708:184932 Mazama: E SyncCommand:SyncCommandError:
55076:190708:184932 Mazama: E CDownloadSidecarCommand:SidecarDownloadFailed:
55076:190708:162647 Mazama: E SyncCommand:SyncCommandError:
55076:190708:162647 Mazama: E CDownloadSidecarCommand:SidecarDownloadFailed:
55076:190708:162627 Mazama: E SyncCommand:SyncCommandError:
55076:190708:162627 Mazama: E CDownloadSidecarCommand:SidecarDownloadFailed:
55076:190708:193412 Mazama: I UploadJournalCommand:UploadJournalAttempt:
55076:190708:193412 Mazama: I Reading:MZMA_BookClose:FORMAT_5=1:
55076:190708:185015 Mazama: I DeviceMessenger:MessagingMessageSuccess:
55076:190708:185015 Mazama: I DeviceMessenger:MessagingMessageBatchSent:
55076:190708:184932 Mazama: I PhlServiceClient:SuccessDownloadingPhlSidecar:
55076:190708:184932 Mazama: I PhlServiceClient:PhlDownloadingServiceReply:
55076:190708:184932 Mazama: I CSynchronizationManager:LibraryManualSyncError:Timer=1050:
55076:190708:184932 Mazama: I PhlItemHandler:SuccessPlacingPhlDownloadRequest:
55076:190708:184932 Mazama: I PhlItemHandler:AttemptPlacingPhlDownloadRequest:
55076:190708:184931 Mazama: I CProcessTodoAnnotationsCommand:ProcessTodoAnnotationsSuccess:
55076:190708:184931 Mazama: I SynchronizationManager:AnnotationsSidecarDownloadForNewVersionFromLibrarySync:
55076:190708:184930 Mazama: I KindleFlashcards:Available:
55076:190708:184930 Mazama: I KRX:PluginSidePanelRegister_flashcardsplugin:
55076:190708:184930 Mazama: I ReaderSettings:BookOpenWithMediumLineSpacing:FORMAT_5=1:
55076:190708:184930 Mazama: I ReaderSettings:BookOpenWithJustifiedAlignment:FORMAT_5=1:
55076:190708:184930 Mazama: I ReaderSettings:AlignmentChangeSupported:FORMAT_5=1:
55076:190708:184930 Mazama: I ReaderSettings:BrightnessAtBookOpen:FORMAT_5=1,Value=82:
55076:190708:184930 Mazama: I ReaderSettings:FontSizeAtBookOpen:FORMAT_5=1,Value=21:
55076:190708:184930 Mazama: I ReaderSettings:PageWidthAtBookOpen:FORMAT_5=1,Value=1557:
55076:190708:184930 Mazama: I ReaderSettings:ColorModeWhiteAtBookOpen:FORMAT_5=1:
55076:190708:184930 Mazama: I ReaderSettings:BookOpenWithFont:FORMAT_5=1,FontFace-Bookerly=1:
55076:190708:184930 Mazama: I ReaderSettings:BookOpenMultipleColumnView:FORMAT_5=1:
55076:190708:184930 Mazama: I Library:BookOpenTimeFORMAT_5:Timer=323:
55076:190708:184930 Mazama: I AppStateManager:MZMA_OpenBook:textHighlightsAndNotesCount=0:
55076:190708:184930 Mazama: I Library:LibraryItemOpenSuccess:FORMAT_5=1:
55076:190708:184930 Mazama: I Library:BookOpenWithTtsAllowed:FORMAT_5=1:
55076:190708:184930 Mazama: I Library:LibraryBookDownload:Success=1:
55076:190708:184930 Mazama: I Download:BookDownloadFinished:ContentLength=15497587,ContentType-application_x-kfx-ebook=1,Duration=5204,Success=1:
55076:190708:184930 Mazama: I Download:ADPAssetDownloadFinished:ContentLength=2096559,ContentType-application_x-kfx-ebook=1,Duration=1655,Latency=226,Retry=0,StatusCode-200=1,Success=1:
55076:190708:184929 Mazama: I Download:ADPAssetDownloadFinished:ContentLength=4075958,ContentType-application_x-kfx-ebook=1,Duration=3165,Latency=361,Retry=0,StatusCode-200=1,Success=1:
55076:190708:184928 Mazama: I Download:ADPAssetDownloadFinished:ContentLength=3136255,ContentType-application_x-kfx-ebook=1,Duration=2517,Latency=348,Retry=0,StatusCode-200=1,Success=1:
55076:190708:184928 Mazama: I Download:ADPAssetDownloadFinished:ContentLength=2740646,ContentType-application_x-kfx-ebook=1,Duration=2167,Latency=234,Retry=0,StatusCode-200=1,Success=1:
55076:190708:184928 Mazama: I Download:ADPAssetDownloadFinished:ContentLength=2145350,ContentType-application_x-kfx-ebook=1,Duration=1732,Latency=227,Retry=0,StatusCode-200=1,Success=1:
55076:190708:184926 Mazama: I Download:ADPAssetDownloadFinished:ContentLength=850449,ContentType-application_x-kfx-ebook=1,Duration=1420,Latency=747,Retry=0,StatusCode-200=1,Success=1:
55076:190708:184926 Mazama: I Download:ADPAssetDownloadFinished:ContentLength=451295,ContentType-application_x-kfx-ebook=1,Duration=1107,Latency=715,Retry=0,StatusCode-200=1,Success=1:
55076:190708:184926 Mazama: I Download:ADPAssetDownloadFinished:ContentLength=1075,ContentType-application_x-amzn-ion=1,Duration=829,Latency=828,Retry=0,StatusCode-200=1,Success=1:
55076:190708:184925 Mazama: I Download:DeliveryManifestLoad:Success=1:
55076:190708:184925 Mazama: I Download:DeliveryManifestStats:ResourceTypeCount-DRM_VOUCHER=1,ResourceTypeCount-KINDLE_MAIN_ATTACHABLE=5,ResourceTypeCount-KINDLE_MAIN_BASE=1,ResourceTypeCount-KINDLE_MAIN_METADATA=1,ResourceTypeCount-KINDLE_USER_ANOT=1,adpCount=9,cdeCount=0,deferredCount=5,deferredSize=14194768,noEndpointCount=0,optionalCount=0,optionalSize=0,preferredCount=1,preferredSize=0,requiredCount=3,requiredSize=1301744,totalCount=9,totalSize=15496512:
55076:190708:184925 Mazama: I Download:DeliveryManifestDownloadFinished:ContentLength=9739,Duration=260,Latency=258,StatusCode-200=1,Success=1:
55076:190708:184924 Mazama: I Download:BookDownloadAttempt:userInitiated=1:
55076:190708:184924 Mazama: I AppStateManager:MZMA_DownloadAndOpenBook:
55076:190708:184917 Mazama: I CSynchronizationManager:BookExitSyncSucceeded:Timer=1250:
